CNX 500
3MINDIA
AARTIDRUGS
AARTIIND
AAVAS
ABB
ABBOTINDIA
ABCAPITAL
ABFRL
ACC
ADANIENT
ADANIGAS
ADANIGREEN
ADANIPORTS
ADANITRANS
ADVENZYMES
AEGISCHEM
AFFLE
AIAENG
AJANTPHARM
AKZOINDIA
ALEMBICLTD
ALKEM
ALKYLAMINE
ALOKINDS
AMARAJABAT
AMBER
AMBUJACEM
APLAPOLLO
APLLTD
APOLLOHOSP
APOLLOTYRE
ASHOKA
ASHOKLEY
ASIANPAINT
ASTERDM
ASTRAL
ASTRAZEN
ATUL
AUBANK
AUROPHARMA
AVANTIFEED
AXISBANK
BAJAJ-AUTO
BAJAJCON
BAJAJELEC
BAJAJFINSV
BAJAJHLDNG
BAJFINANCE
BALKRISIND
BALMLAWRIE
BALRAMCHIN
BANDHANBNK
BANKBARODA
BANKINDIA
BASF
BATAINDIA
BAYERCROP
BBTC
BDL
BEL
BEML
BERGEPAINT
BHARATFORG
BHARATRAS
BHARTIARTL
BHEL
BIOCON
BIRLACORPN
BLISSGVS
BLUEDART
BLUESTARCO
BOMDYEING
BOSCHLTD
BPCL
BRIGADE
BRITANNIA
BSE
BSOFT
CADILAHC
CANBK
CANFINHOME
CAPLIPOINT
CARBORUNIV
CARERATING
CASTROLIND
CCL
CDSL
CEATLTD
CENTRALBK
CENTURYPLY
CENTURYTEX
CERA
CESC
CGCL
CHALET
CHAMBLFERT
CHENNPETRO
CHOLAFIN
CHOLAHLDNG
CIPLA
COALINDIA
COCHINSHIP
COFORGE
COLPAL
CONCOR
COROMANDEL
CREDITACC
CRISIL
CROMPTON
CSBBANK
CUB
CUMMINSIND
CYIENT
DABUR
DALBHARAT
DBCORP
DBL
DCAL
DCBBANK
DCMSHRIRAM
DEEPAKNTR
DELTACORP
DHANI
DHANUKA
DISHTV
DIVISLAB
DIXON
DLF
DMART
DRREDDY
ECLERX
EDELWEISS
EICHERMOT
EIDPARRY
EIHOTEL
ELGIEQUIP
EMAMILTD
ENDURANCE
ENGINERSIN
EPL
EQUITAS
ERIS
ESABINDIA
ESCORTS
EXIDEIND
FCONSUMER
FDC
FEDERALBNK
FINCABLES
FINEORG
FINPIPE
FLUOROCHEM
FORTIS
FRETAIL
FSL
GAEL
GAIL
GALAXYSURF
GARFIBRES
GEPIL
GESHIP
GHCL
GICRE
GILLETTE
GLAXO
GLENMARK
GMDCLTD
GMMPFAUDLR
GMRINFRA
GNFC
GODFRYPHLP
GODREJAGRO
GODREJCP
GODREJIND
GODREJPROP
GPPL
GRANULES
GRAPHITE
GRASIM
GREAVESCOT
GRINDWELL
GRSE
GSFC
GSPL
GUJALKALI
GUJGASLTD
GULFOILLUB
HAL
HATHWAY
HATSUN
HAVELLS
HCLTECH
HDFC
HDFCAMC
HDFCBANK
HDFCLIFE
HEG
HEIDELBERG
HERITGFOOD
HEROMOTOCO
HFCL
HINDALCO
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HONAUT
HSCL
HUDCO
HUHTAMAKI
IBREALEST
IBULHSGFIN
ICICIBANK
ICICIGI
ICICIPRULI
ICRA
IDBI
IDEA
IDFC
IDFCFIRSTB
IEX
IFBIND
IGL
IIFL
IIFLWAM
INDHOTEL
INDIACEM
INDIAMART
INDIANB
INDIGO
INDOCO
INDUSINDBK
INDUSTOWER
INFY
INGERRAND
INOXLEISUR
IOB
IOC
IOLCP
IPCALAB
IRB
IRCON
IRCTC
ISEC
ITC
ITI
J&KBANK
JAGRAN
JAICORPLTD
JAMNAAUTO
